"title","artist","album","year","duration"
"Squalie (Skit)","Juelz Santana","From Me To U (Radio)",2003,""
"Halftime Skit","Juelz Santana","Halftime Skit / The Symphony / OK",0,""
"Down (Skit)","Juelz Santana","From Me To U",2003,""
"Dipset (Santana's Town) (Skit)","Juelz Santana","From Me To U (Radio)",2003,""
"Skit","Juicy J","Hustle Till I Die",2009,"0:47"
"Sonar Skit","Jumpsteady","Master Of The Flying Guillotine",2005,""
"Crom Skit","Jumpsteady","Master Of The Flying Guillotine",2005,""
"The Big Daddys (Skit)","Jungle Brothers","All That We Do",2002,"0:54"
"Telephone Skit","Junior M.A.F.I.A.","Riot Musik",2005,""
"Dreams (Skit)","Junk Science (2)","Feeding Einstein",2005,"0:59"
"Keep Oiling Cell Phones (Skit)","Junk Science (2)","Feeding Einstein",2005,"0:41"
"J Resume (Skit)","Jurassic 5","Feedback Instrumentals",2006,""
"At The Door-Skit","Juvenile (2)","Juve The Great (Screwed & Chopped)",2004,"1:13"
"Club-Skit","Juvenile (2)","Juve The Great (Screwed & Chopped)",2004,"1:57"
"Outside-Skit","Juvenile (2)","Juve The Great (Screwed & Chopped)",2004,"1:34"
"Skit","K B Dub","North Carolina Shocks The World",1997,""
"Nina Ross / Skit","K-9 (3)","All I Know",2001,""
"Skit N*ggaz","K-Def","Willie Boo Boo ""The Fool""",2006,""
"Skit The Lighter","K-Def","Willie Boo Boo ""The Fool""",2006,""
"Skit (Buy This)","K-Def","Presents Willie Boo Boo ""The Fool""",2006,""
"Skit Lude","K-Def","Presents Willie Boo Boo ""The Fool""",2006,""
"Skit Niggaz","K-Def","Presents Willie Boo Boo ""The Fool""",2006,""
"Skit","K-Rino","theRAPeutic",2013,""
"Jigsaw Skit","K-Rock (4)","Biohazard",2014,"0:06"
"Cool Kidz Skit","K-Rock (4)","Biohazard",2014,"0:06"
"Garden Goons Skit","K-Rock (4)","Biohazard",2014,"0:21"
"Daddy Skit","K-Rock (4)","Biohazard",2014,"0:13"
"M.D.K Skit","K-Rock (4)","Biohazard",2014,"0:59"
"Garden Skit","K-Rock (4)","Biohazard",2014,"0:11"
"Traffic Stop (Skit)","K-Still","Transactions",2000,""
"Clubbing (Skit)","K-Still","Transactions",2000,""
"Hating (Skit)","K-Still","Transactions",2000,""
"Un Dia En Perth Amboy, NJ (Skit)","K.Banger","Stillborn Lives",2002,"1:02"
"Prophecy (Skit)","K.Banger","Stillborn Lives",2002,"0:21"
"And The Album?!?! (Skit)","K.Banger","Stillborn Lives",2002,"1:19"
"Element (Skit)","K.O.N.","Instrumentals Vol. II",2007,""
"Radio Skit Mix","Kamakazeez","Kamakazeez Volume 1",1999,""
"Dem Young Niggaz (Skit)","Kami Kaze Inc.","Only The Strong Survive",2005,""
"Hater Stroke (Skit)","Kamikaze (2)","2 Broke 2 Ball",2004,"2:42"
"Skit: Paranoid","Kan Kick","Seeing Spirits",2005,"0:27"
"F.K. Movies (Skit)","Kan Kick","Seeing Spirits",2011,""
"Green People (Skit)","Kan Kick","Seeing Spirits",2011,""
"Skit: Mas Fire","Kan Kick","Seeing Spirits",2005,"0:14"
"Skit: Leathershop","Kan Kick","Seeing Spirits",2005,"0:33"
"Platinum Shit (Skit)","Kanine","West Dallas Virus",2004,""
"My Cutlas (Skit)","Kanine","West Dallas Virus",2004,""
"Got That Butter (Skit)","Kanine","West Dallas Virus",2004,""
"School Spirit Skit 1","Kanye West","The College Dropout",2004,"1:18"
"John Mayer Skit","Kanye West","The Best Of Kanye West",2005,""
"Skit #3","Kanye West","Late Registration",2005,""
"Skit #2","Kanye West","Late Registration",2005,""
"Skit #1","Kanye West","Late Registration",2005,""
"Saturday Night Live (Skit)","Kanye West","Mr. West",2009,""
"Lil Jimmy Skit","Kanye West","The College Dropout",2004,"0:53"
"School Spirit Skit 2","Kanye West","The College Dropout",2004,"0:43"
"Skit #4","Kanye West","Late Registration",2005,""
"Music Island Skit","Kavious","Empty Shelves",2003,"0:50"
"Skit 2","Kazmere","Somebody Else / Reasons",1996,""
"Skit 1","Kazmere","Somebody Else / Reasons",1996,""
"A Toast (Skit)","KB (2)","Live From Tha Dec",2006,""
"Boonie Locc (Skit)","KB (2)","Live From Tha Dec",2006,""
"Hoodrich 4 Life (Skit)","KB (2)","Live From Tha Dec",2006,""
"Skit 2","Keak Da Sneak","The Comp",2004,""
"Skit","Keak Da Sneak","Hi-Tek",2001,""
"Skit 1","Keak Da Sneak","The Comp",2004,""
"Skit","Keef G","Thug Line Chronicles Vol. 1 Welcome To Da Alley",2009,""
"Skit","Keefe White","Animal Instinct",2002,""
"Psych Dog Skit","Keith Murray","Kickin' Ass Inc. Mixtape Vol. 1",2005,""
"Vigilante -- Skit","Keith Murray","Kickin' Ass Inc. Mixtape Vol. 1",2005,""
"Fuckin Up K-Solo--Skit","Keith Murray","Kickin' Ass Inc. Mixtape Vol. 1",2005,""
"Bodega Skit","Keith Murray","It's A Beautiful Thing",1999,"0:40"
"L.O.D. Skit","Keith Murray","Kickin' Ass Inc. Mixtape Vol. 1",2005,""
"Stalker (Skit)","Keith Murray","Intellectual Violence",2008,""
"Fuck Dem-Skit","Keith Murray","Kickin' Ass Inc. Mixtape Vol. 1",2005,""
"Da Intro (Skit)","Keith Murray","He's Keith Murray",2003,"0:15"
"Say Goodnite (Skit)","Keith Murray","He's Keith Murray",2003,"0:58"
"Excitement (Skit)","Keith Murray","Intellectual Violence",2008,""
"Kell Em (Skit)","Keith Murray","Intellectual Violence",2008,""
"B.C. (Skit)","Keith Murray","He's Keith Murray",2003,"0:52"
"Police Skit","Keith Murray","Kickin' Ass Inc. Mixtape Vol. 1",2005,""
"Hang Yourself - Skit","Keith Murray","Kickin' Ass Inc. Mixtape Vol. 1",2005,""
"Da Beef Murray Show (Skit)","Keith Murray","Rap-Murr-Phobia (The Fear Of Real Hip-Hop)",2007,""
"Star (Skit)","Keith Murray","He's Keith Murray",2003,"0:38"
"Wdef (Skit)","Keith Murray","Intellectual Violence",2008,""
"Sucka Free (Skit)","Keith Murray","He's Keith Murray",2003,"0:48"
"I Love It When It Rains (Skit)","Keith Murray","Rap-Murr-Phobia (The Fear Of Real Hip-Hop)",2007,""
"U Aint No Gangsta (Skit)","Keith Murray","Intellectual Violence",2008,""
"Walk Up (Skit)","Keith Murray","Rap-Murr-Phobia (The Fear Of Real Hip-Hop)",2007,""
"Skit","Keith Rilla","Rilla Time - Welcome To Conway",2000,"5:29"
"Skit","Keltic Tribe","Albino Gorillaz",2002,""
"Stud Skit","Ken Raw","Raw Footage / From The Ave 2 The Ave",2004,""
"Skit","Ken Raw","Raw Footage / From The Ave 2 The Ave",2004,""
"Hater Skit","Ken Raw","Raw Footage / From The Ave 2 The Ave",2004,""
"Plane Skit","Ken Raw","Raw Footage / From The Ave 2 The Ave",2004,""
"Industry Niggas (Skit)","Kendrick Lamar","Hub City Threat: Minor Of The Year",2013,"1:23"
"The Skit","Kenny ""Dope"" Gonzalez","The Pushin' ""Dope"" EP",1994,"0:58"
"Joe Hater (skit)","Kenny Mob","Tha Uncut - 100% Dirty",2003,""
"Humanorchestra (Skit 2)","Kenny Muhammad The Human Orchestra","Kenny Muhammad A.K.A. The ""HumanOrchestra""",2003,""
"Humanorchestra (:Live"") Skit 1","Kenny Muhammad The Human Orchestra","Kenny Muhammad A.K.A. The ""HumanOrchestra""",2003,""
"Humanorchestra (Skit Put)","Kenny Muhammad The Human Orchestra","Kenny Muhammad A.K.A. The ""HumanOrchestra""",2003,""
"'Juana Smoke Skit","Kevin Bradley","Megastar 2",2014,"0:15"
"Caring Skit","Kevin Bradley","Megastar 2",2014,"0:39"
"Intermission Skit (feat. Tjd)","Kevin Bradley","Megastar 2",2014,"1:03"
"Skit 2","Key!","Mothers Are The Blame",2012,"0:31"
"Skit 1","Key!","Mothers Are The Blame",2012,"1:04"
"Skit 3","Key!","Mothers Are The Blame",2012,"0:42"
"Pimpin' Pimpin' (Skit)","Keyz (4)","From David To Damien",2003,""
"Scooter (Skit)","Khia","Thug Misses",2002,"0:09"
"What Eva Khia Wants (Skit)","Khia","Love Locs",2014,"1:27"
"You Deserve It (Skit)","Khia","Love Locs",2014,"2:03"
"Shit On Me (Skit)","Khia","Nasti Muzik",2008,"0:29"
"My Neck My Back (Skit)","Khia","Love Locs",2014,"0:53"
"Mirror Mirror (Skit)","Khia","Love Locs",2014,"2:06"
"Been Called A Bitch (Skit)","Khia","MotorMouf AKA Khia Shamone",2012,"0:15"
"No One Denies This Pussy (Skit)","Khia","MotorMouf AKA Khia Shamone",2012,"0:32"
"Respect Me (Skit)","Khia","MotorMouf AKA Khia Shamone",2012,"0:25"
"It's Whatever (Skit)","Khia","Nasti Muzik",2008,"0:43"
"Hater (Skit)","Khia","Thug Misses",2002,"0:29"
"Taz (Skit)","Khia","Thug Misses",2002,"0:42"
"Taz II (Skit)","Khia","Thug Misses",2002,"0:55"
"Bitch Bitch (Skit)","Khia","Nasti Muzik",2008,"0:19"
"Fuck You & Suck You (Skit)","Khia","Nasti Muzik",2008,"0:44"
"I Refuse (Skit)","Khia","Nasti Muzik",2008,"1:01"
"Get It & Go (Skit)","Khia","Nasti Muzik",2008,"1:29"
"Skit 2","KHM","Game",2002,"0:36"
"Intro Skit","KHM","Game",2002,"1:01"
"Skit","Kid Fresh (3)","People Want Sugar",2011,""
"Hit A Lick Auditions (Skit)","Kid Frost","Still Up In This $#*+!",2002,"1:10"
"(Skit) Danny Trejo (The Big City)","Kid Frost","All Oldies",2011,"0:13"
"(Skit) Take A Hit (Can You Feel It)","Kid Frost","All Oldies",2011,"2:39"
"Lil' Rich (Skit)","Killa Cole","Dat Hillbillie Fonk",2002,"0:45"
"Royal Rev. Rufus (Skit)","Killa Cole","Dat Hillbillie Fonk",2002,"1:56"
"Skit","Killa Kyleon","Purple Punch 2",2007,""
"Fuck Skit","Killa Smoove","Kritical",1998,""
"Hector Skit","Killa Smoove","Kritical",1998,""
"Skit Two","Killa Tactics (2)","Why I Hustle",2001,""
"Skit One","Killa Tactics (2)","Why I Hustle",2001,""
"Intro Skit Freestyle","Killah Priest","The Best Of Killah Priest And A Prelude To The Offering",2008,""
"Foxhole Convo Skit","Killarmy","The 6 Man Wetting",2010,"0:59"
"Skit 3","Killarmy","The 6 Man Wetting",2010,"0:22"
"Skit 2","Killarmy","The 6 Man Wetting",2010,"0:33"
"Skit","Killarmy","Granddaddy Flow",2003,"0:12"
"Skit 7","Killer Mike","Sunday Morning Massacres",2014,""
"Skit 3","Killer Mike","Sunday Morning Massacres",2014,""
"Skit 5","Killer Mike","Sunday Morning Massacres",2014,""
"Skit 1","Killer Mike","Sunday Morning Massacres",2014,""
"Skit 4","Killer Mike","Sunday Morning Massacres",2014,""
"Skit 8","Killer Mike","Sunday Morning Massacres",2014,""
"Skit 6","Killer Mike","Sunday Morning Massacres",2014,""
"Skit","Kilo (16)","Kilo ""Jefes"" & Down ""Bosses""",2004,""
"Skit Run","Kinetic (5)","The Great Conjunction",2013,"2:10"
"Skitt Afro Soldier","Kinetic (5)","The Great Conjunction",2013,"1:34"
"Skit","Kinfolkz","Smoke House",2001,""
"Rev. Do Wrong Speaks (Skit)","King George (2)","Return Of The Kingpin",2003,""
"Phone Call (Skit)","King George (2)","Return Of The Kingpin",2003,""
"Hello Gordy... (Skit)","King Gordy","The Entity",2003,"0:22"
"Playground (Skit)","King Gordy","The Entity",2003,"0:59"
"Skips Call (Skit)","King Jakob","Opening Statements",2006,"0:47"
"Skit","King Just","Go N On Em'",2005,""
"Who You (Skit)","King Just","Go N On Em'",2005,""
"Skit Countdown","King Just","Go N On Em'",2005,""
"Skit 4","King Just","No Power On Earth",2005,""
"Skit 3","King Just","No Power On Earth",2005,""
"Skit 2","King Just","No Power On Earth",2005,""
"Skit 1","King Just","No Power On Earth",2005,""
"Skit","Kingpin Low Key","Comin Out The South - The Flexers",1999,""
"Truckload Skit","Kingpin Skinny Pimp","Da Product",2001,""
"Commercial Skit","Kingpin Skinny Pimp","Skinny But Dangerous - The Legendary Underground Tapes",1996,"1:39"
"Robbery Skit","Kingpin Skinny Pimp","Pimpin' And Hustlin'",2002,"0:58"
"Skit","Kingpin Skinny Pimp","Greatest Hits And Remixes",2001,""
"Mi Jefa ( Skit)","Kinto Sol","Hecho En Mexico",2003,"1:22"
"Skit","Kinto Sol","La Sangre Nunca Muere",2005,"0:11"
"Libro (Skit)","Kinto Sol","El Ultimo Suspiro",2010,"0:41"
"pancho plata (skit) #1","Kinto Sol","Los Hijos Del Maíz",2007,""
"pancho plata (skit) #2","Kinto Sol","Los Hijos Del Maíz",2007,""
"Un Compa (Skit)","Kinto Sol","Hecho En Mexico",2003,"0:37"
"Inmortal (Skit)","Kinto Sol","El Ultimo Suspiro",2010,"1:24"
"Tv (Skit)","Kinto Sol","El Ultimo Suspiro",2010,"0:22"
"Murs Lives To Tell (Skit)","Kirb And Chris","Niggaz And White Girlz",2005,""
"Myka Nyne, Bitch! (Skit)","Kirb And Chris","Niggaz And White Girlz",2005,""
"Fuck You And White Bitches (Skit)","Kirb And Chris","Niggaz And White Girlz",2005,""
"Z-Man The Nigga (Skit)","Kirb And Chris","Niggaz And White Girlz",2005,""
"Hold My Hand (Skit)","Kirb And Chris","Niggaz And White Girlz",2005,""
"What's The Big Deal? (Skit)","Kirb And Chris","Niggaz And White Girlz",2005,""
"New Wave Soul (Skit)","Kirb And Chris","Niggaz And White Girlz",2005,""
"Melvin's Not Here (Skit)","KJ-52","7th Avenue",2000,"0:34"
"Mickey Cakes (Skit)","KJ-52","7th Avenue",2000,"2:14"
"Lil' Shistie (Skit)","Klass Initialzs","Freshmen Klass",2008,"0:10"
"Lil Klass (Skit)","Klass Initialzs","Freshmen Klass",2008,"0:10"
"No DJ Beef (Skit)","Klass Money","Warrior MindFrame (Hosted By DJ Meat & DJ Lucky C)",2012,""
"Nobody (Skit)","Klass Money","2nd Period: Klass In Session",2008,""
"Car (Skit)","Klass Money","Warrior MindFrame (Hosted By DJ Meat & DJ Lucky C)",2012,""
"Beautiful (Skit)","Klass Money","Warrior MindFrame (Hosted By DJ Meat & DJ Lucky C)",2012,""
"Jook (Skit)","Klass Money","Warrior MindFrame (Hosted By DJ Meat & DJ Lucky C)",2012,""
"Voicemail (Skit)","Klass Money","2000 N Mine: Back In These Streetz Reloaded",2010,""
"Wilderness Wanderer (Skit)","Klive Kraven","The Last Days Of Mountain Man",2012,"1:24"
"Murders Manuscript Pt. 3 (Skit)","Klive Kraven","Death Comes In The Dusk",2011,"1:15"
"Account Of A Slaughter (Skit)","Klive Kraven","Filthy Slaughter",2010,"0:45"
"From The Crow's Mouth (Skit)","Klive Kraven","The Last Days Of Mountain Man",2012,"1:35"
"I Need Some Help (Skit)","Klive Kraven","Hobo With A Shotgun",2011,"1:08"
"Street Life (Skit)","Klive Kraven","Hobo With A Shotgun",2011,"1:15"
"Losing Grip (Skit)","Klive Kraven","Filthy Slaughter",2010,"1:22"
"Murders Manuscript Pt. 1 (Skit)","Klive Kraven","Death Comes In The Dusk",2011,"1:07"
"Murders Manuscript Pt. 2 (Skit)","Klive Kraven","Death Comes In The Dusk",2011,"1:28"
"Leaving The Strange World Behind (Skit)","Klive Kraven","Filthy Slaughter",2010,"0:26"
"Faces Of My Friends (Skit)","Klive Kraven","The Return Of Mountain Man",2010,"1:30"
"Living On A Mountain (Skit)","Klive Kraven","The Last Days Of Mountain Man",2012,"0:46"
"Radio (Skit)","Knoc-Turn'al","The Way I Am",2004,"0:50"
"Skit (The Plot)","Know Good","Illegal Hustle",1998,""
"(Skit) Guns Down","Know Good","Illegal Hustle",1998,""
"(Skit) The Request","Know Good","Illegal Hustle",1998,""
"Intro (Skit) Coleman Young","Know Good","Illegal Hustle",1998,""
"Just Escaped (Skit)","Knowa Lazarus","Let The Truth Be Told",2002,""
"The Q-York Senate (Skit)","Knowa Lazarus","Let The Truth Be Told",2002,""
"Skit","Knumskull","Numworld",2007,"0:31"
"Skit","Kodak Black","Project Baby",2013,""
"Prayer Skit","Kollision","High Performance",1996,""
"Slums (Skit)","Kong (2)","Shackles Off",2008,""
"Brown Eyes (Skit)","Kong (2)","Shackles Off",2008,""
"Skit","Kontrol & Kidd Star","The 3 Bad Brothaz Show",2006,""
"Mister Smith's Skit","Kool Daddy Fresh","Plottin'",2000,""
"Recoupment (Skit)","Kool Keith","Matthew",2000,"1:04"
"Errand Boy (Skit)","Kool Keith","Matthew",2000,"0:51"
"Anal Conquests (Skit)","Kool Keith","Sex Style: The Unreleased Archives",2007,"1:09"
"We Turn (Skit)","Kool Keith","Tashan Dorrsett",2009,"1:10"
"Do You Masturbate? (Skit)","Kool Keith","Matthew",2000,"0:32"
"The Set Up (Skit)","Kool Keith","Matthew",2000,"0:32"
"Snitch (Skit)","Koopsta Knicca","De Inevitable",2004,"2:38"
"Gotta Go (Skit)","Koopsta Knicca","The Mind Of Robert Cooper",2006,""
"Skit","Koopsta Knicca","De Inevitable",2004,"0:33"
"Dillinger (Skit)","Koopsta Knicca","De Inevitable",2004,"0:24"
"Head Chasers - Skit","Koopsta Knicca","Undaground Muzic Volume One",2003,""
"Club Skit","Koopsta Knicca","De Inevitable",2004,"0:30"
"S--t I Forgot To Say - Skit","Koopsta Knicca","Undaground Muzic Volume One",2003,""
"Da Bullshit (Skit)","Krayzie Bone","Thug Mentality 1999",1999,"0:37"
"Murda Won't Stop (Skit)","Krayzie Bone","Thug Mentality 1999",1999,"2:15"
"Locked Out (Skit)","Krayzie Bone","Bone Thug Affiliates: The Underground Mixtape Showcase",2004,""
"Dummy Man (Skit)","Krayzie Bone","Thug Mentality 1999",1999,"0:30"
"Ready For Combat (Skit)","Krayzie Bone","Thug On Da Line (Clean Version)",2001,"0:28"
"The Messenger (Skit)","Krayzie Bone","Thug Mentality 1999",1999,"2:20"
"Slave Skit","Krayzie Bone","Gemini: Good Vs. Evil",2005,"1:36"
"Sad Song (Skit)","Krayzie Bone","Thug Mentality 1999",1999,"1:28"
"Look At You Now (Skit)","Krayzie Bone","Thug Mentality 1999",1999,"2:12"
"Bloody Murder (Skit)","Krayzie Bone","Thug On Da Line (Clean Version)",2001,"0:53"
"Ghetto Auto Sales Spot (Skit)","Krazy-K (2)","Krazy Radio",1996,""
"Creep Disco Promo (Skit)","Krazy-K (2)","Krazy Radio",1996,""
"Week Shack Spot (Skit)","Krazy-K (2)","Krazy Radio",1996,""
"Traffic (Skit)","Krazy-K (2)","Krazy Radio",1996,""
"Weather (Skit)","Krazy-K (2)","Krazy Radio",1996,""
"Interview (Skit)","Krazy-K (2)","Krazy Radio",1996,""
"Skit","Kreep","I Think They're Watching Me",1997,""
"The Tunnel (Skit)","Krizz Kaliko","Vitiligo",2008,"0:10"
"Dr. Suwandi (Skit)","Krizz Kaliko","S.I.C.",2011,""
"The Ride II (Skit)","Krizz Kaliko","Vitiligo",2008,"0:23"
"The Ride (Skit)","Krizz Kaliko","Vitiligo",2008,"1:08"
"Intro (Skit)","Krizz Kaliko","Kickin' & Screamin' (Deluxe Edition)",2012,""
"Madonna & Child (Skit)","KRS-One","Meta-Historical",2010,""
"Ancient Hip Hop (Skit)","KRS-One","Meta-Historical",2010,""
"Naga (Skit)","KRS-One","Meta-Historical",2010,""
"The Struggle (Skit)","KRS-One","Meta-Historical",2010,""
"Revelation (Skit)","KRS-One","Meta-Historical",2010,""
"My Mind (Skit)","KRS-One","Meta-Historical",2010,""
"M.A.R.L.E.Y. (Marley And Red Living Everyday Youthful) (Skit)","KRS-One","Hip Hop Lives",2007,""
"Freeman (Skit)","KRS-One","Meta-Historical",2010,""
"Da Phone Call Skit","Krucifix Klan","Fuckin' Wit Dis Klan",2004,""
"Skit","Krumb Snatcha","Let The Truth Be Told",2004,""
"Haters (Skit)","Krumb Snatcha","Let The Truth Be Told",2004,""
"You Wanna Be A Rapper (Skit)","Kryme Life","The Kryme Wave",2007,"1:03"
"On My Sh*t (Skit)","Kryme Life","The Kryme Wave",2007,"0:21"
"See My Movement (Skit)","Kryme Life","The Kryme Wave",2007,"0:37"
"They Call Me Kryme Life (Skit)","Kryme Life","The Kryme Wave",2007,"0:29"
"Rondell's Beat Tape (Skit)","Kuniva","Retribution",2010,"2:37"
"Crenshaw Blvd. (Skit)","Kurupt","Philly2Cali",2007,""
"1969 (Skit)","Kurupt","Kurupt Presents: The Originals",2004,""
"Caller ID (Skit)","Kurupt","Against The Grain",2003,""
"Message From DJ Easy P Skit","Kut Masta Kurt","Redneck Olympics",2004,"0:54"
"Mike Calling To Say ""Hi"" Skit","Kut Masta Kurt","Redneck Olympics",2004,"0:18"
"Morning's With Marv Mack Skit","Kut Masta Kurt","Redneck Olympics",2004,"0:47"
"Skit","Kut Masta Kurt","Redneck Olympics",2004,"1:11"
"Mr. Freaky (Skit)","Kutt Calhoun","Feature Presentation",2008,"1:55"
"Skit","Kyle Lee","Its All On Me",2004,""
"So Much (Skit)","Kyo Itachi","Musikyo",2010,""
"Mr Itachi Yo! (Skit)","Kyo Itachi","Musikyo",2010,""
"DJ Know-It-All -n- MC Backpack - Skit","L Da Headtoucha","Destined For Greatness",2003,"2:39"
"The Driveby - Skit","L Da Headtoucha","Destined For Greatness",2003,"0:58"
"Fire In Tha Hole (Skit)","L-Burna","Thug By Nature",2001,"0:39"
"Where You Goin? (Skit)","L-Burna","Thug By Nature",2001,"1:10"
"David Stoutmeyer (Skit)","L.A. Symphony","CIWYW",2006,""
"Interlude (The Take Over Skit)","L.I.F.E. Long","Cuts And Collabos, Part 2",2006,""
"Skit 2","L.I.F.E. Long","Crossing The Globe",2011,""
"Skit 1","L.I.F.E. Long","Crossing The Globe",2011,""
"Skit","L.O.S.T. Soulja","Feet On Solid Ground",2003,""
"Rap Tight Commercial (Skit)","Labaholics","Laboratory Stories",2011,"0:55"
"Skit","Labklik","Shadow Of Your Smile",0,""
"Street Talk (Skit)","Laces","J.A.Y's Game",1997,""
"Skit","Lady 14","Standing Tall",1999,"0:28"
"HPR Skit","Lady Red (2)","Lady Red",1996,""
"Cocky Liquor (Skit)","Lady Saw","Strip Tease",2004,""
"Ice Skit","Lake","American Rat Killer",2007,""
"Let That Thing Go (Skit)","Lake","My Brother's Keeper",2006,""
"You Don't Know Where He's From (Skit)","Lake","My Brother's Keeper",2006,""
"Jay Skit","Lake","American Rat Killer",2007,""
"Joe Joe Capone Skit","Lake","American Rat Killer",2007,""
"Sleezo (Skit)","Lake","My Brother's Keeper",2006,""
"Del Skit","Lake","American Rat Killer",2007,""
"Skit 2","Lakutis","3 Seashells",2014,"0:14"
"Skit 1","Lakutis","3 Seashells",2014,"0:07"
"Outro (Skit)","Laponne","Concrete Playground",2004,""
"Skit (Street)","Laroo","Hood Journal",2004,"0:24"
"Die Fo' Money (Skit)","Laroo","Fear No Fate",2000,""
"Skit","Laroo","Ghetto Perfection",2001,""
"We At Dat (Skit)","Laroo","Trash-N-Treasure (One Man's Trash Is Another Man's Treasure)",2003,"0:52"
"My Man (Skit)","Laroo","Trash-N-Treasure (One Man's Trash Is Another Man's Treasure)",2003,"0:43"
"Shaker Her (Skit)","Laroo","Fear No Fate",2000,""
"Shaker Her (Skit 1)","Laroo","Fear No Fate",1998,"0:36"
"Skit (T.V.'s)","Laroo","Hood Journal",2004,"0:05"
"Die Fo' Money (Skit 2)","Laroo","Fear No Fate",1998,"0:48"
"Skit","Lauryn Hill","Ms. Hill",2007,"0:50"
"Skit: Lauryn Hill Speaks On Hip Hop","Lauryn Hill","Ms. Hill",2007,"0:20"
"Skit: Lauryn Hill Speaks On Music","Lauryn Hill","Ms. Hill",2007,"0:33"
"Skit","Lava House","United We Stand, Divided We Fall - Chopped & Screwed",2005,""
"Chester (Skit)","Lavel","Nutty",2004,""
"Nutty (Skit)","Lavel","Nutty",2004,""
"Skit","Layzie Bone","The New Revolution",2006,""
"Felicia (Skit)","Layzie Bone","Bone Brothers",2005,"0:33"
"Skit - Choppin' Game With L.Burna","Layzie Bone","It's Not A Game",2005,"0:50"
"Skit Pt. 2","Lazy K (2)","The Making Of Martin ""Louie"" The King Jr. Starring Kanye West",2009,"1:42"
"Skit","Lazy K (2)","NYC NJC Connection",1998,""
"Pre-Game Skit","Lazy K (2)","Spring 98",1998,""
"Skit (Live) In The Studio","Lazy K (2)","The Making Of Martin ""Louie"" The King Jr. Starring Kanye West",2009,"0:28"
"Plain Pat 50 Cent Voice Mail (Skit)","Lazy K (2)","The Making Of Martin ""Louie"" The King Jr. Starring Kanye West",2009,"2:16"
"Skit","Le$","Ace",2014,"0:25"
"Money Mitch Skit","Le$","Ace",2014,"0:31"
"Untitled Skit","Leaders Of The True School","Style Foundation LP",2000,""
"Leakie Leak (Skit)","Leak Bros","Waterworld",2004,"0:26"
"Skit 1","Lee Majors (3)","The Ace Of Cake 2",2011,"0:33"
"Skit 3","Lee Majors (3)","The Ace Of Cake 2",2011,"0:09"
"Skit 2","Lee Majors (3)","The Ace Of Cake 2",2011,"0:25"
"Gotta Go To Tha Crib (Skit)","Legal Substanz","One Nation Under A Game ",1998,""
"Rio Bound (Skit)","Legal Substanz","One Nation Under A Game ",1998,""
"Take Him Now (Skit)","Legal Substanz","One Nation Under A Game ",1998,""
"Mac I.D.G.A.F. [Skit]","Legend Loks","Hard To Be A Legend",2013,""
"Interrogation Skit","Lejo","My Bad...Im Back",2011,""
"Len Berzerk Skit","Len Berzerk","Da Struggle",2008,"0:42"
"See Why Skit","Len Berzerk","Da Struggle",2008,"0:22"
"Moe Doe Skit","Len Berzerk","4 Presidentz",2014,"2:20"
"Automatic Skit","Len Berzerk","Da Real Side (History Of L.B.)",2012,"0:09"
"Locked Down Skit","Len Berzerk","Da Real Side (History Of L.B.)",2012,"0:07"
"Thuggity Skit","Lifesavas","Spirit In Stone",2003,""
"Fa' Show (Door Drama) Skit","Lifesavas","Spirit In Stone",2003,""
"Cam Skit","Lil Bibby","Free Crack",2013,""
"Skit # 3","Lil Black","On The Road Again",2000,""
"Skit #1","Lil Black","On The Road Again",2000,""
"Niggaz Be On Some Hater Shit (skit)","Lil C.S.","The Hardest Shit Out",2005,""
"(Skit)","Lil Domicci","Crystalizing",2003,""
"(Skit) C-Loc Call Pound C","Lil Domicci","Crystalizing",2003,""
"(Skit) Mark V Call Pound C","Lil Domicci","Crystalizing",2003,""
"(Skit) Kam Call Pound C","Lil Domicci","Crystalizing",2003,""
"House Party [Skit]","Lil Gangster","90's Kid",2015,""
"Skit","Lil Gangster","Underground Chpt. 1",2006,""
"Skit","Lil Gin","Da Professional",2006,""
"Juicy J Skit","Lil Gin","Shake Junt",1995,"0:09"
"Skit","Lil Jack","Still Hallucinating",2009,""
"Whiteboy Skit","Lil Kriz","Gimme The Night",2000,""
"Skit","Lil Loco","Yella Tape The Murder Scene",2010,""
"Skit","Lil Lody","Expect The Unexpected",2010,"0:56"
"Emotional Rollercoasters (Skit)","Lil Mama","VYP - Voice Of The Young People",2008,"0:28"
"Look At My Life (Skit)","Lil Mama","VYP - Voice Of The Young People",2008,"1:01"
"Gotta Go Deeper (Skit)","Lil Mama","VYP - Voice Of The Young People",2008,"0:14"
"Aint My Fault (Skit)","Lil Mitchy Slick","Im Thuggin",2012,""
"Skit","Lil Monty","Dirtymon",2002,""
"Skit","Lil Rob","The Album",2003,""
"Skit","Lil Sic","The West Is Back",2006,""
"Skit","Lil Sicko","Block Hustlin",2005,""
"Skit","Lil Sisco","Gorilla Grindin Vol. 3",2007,""
"Life Skit","Lil Snupe","R.N.I.C.",2013,"0:35"
"Drug Deala Skit","Lil Spade","Champagne Type Of Dealinz",2002,""
"Skit (Baby Blue)","Lil Trigger","Crazy Ass Local",1994,""
"Skit","Lil Trigger","Crazy Ass Local",1994,""
"Skit","Lil Tweety","All Eyes On Me",2004,""
